256 -1
85 -85

1792 -7
597 -597

3328 -13
1109 -1109

4864 -19
1621 -1621

6400 -25
2133 -2133

7936 -31
2645 -2645

9472 -37
3157 -3157

11008 -43
3669 -3669

12544 -49
4181 -4181

14080 -55
4693 -4693

15616 -61
5205 -5205

17152 -67
5717 -5717

18688 -73
6229 -6229

20224 -79
6741 -6741

21760 -85
7253 -7253

23296 -91
7765 -7765

24832 -97
8277 -8277

26368 -103
8789 -8789

27904 -109
9301 -9301

29440 -115
9813 -9813

30976 -121
10325 -10325

32512 -127
10837 -10837

34048 -133
11349 -11349

35584 -139
11861 -11861

37120 -145
12373 -12373

38656 -151
12885 -12885

40192 -157
13397 -13397

41728 -163
13909 -13909

43264 -169
14421 -14421

44800 -175
14933 -14933

46336 -181
15445 -15445

47872 -187
15957 -15957

49408 -193
16469 -16469

50944 -199
16981 -16981

52480 -205
17493 -17493

54016 -211
18005 -18005

55552 -217
18517 -18517

57088 -223
19029 -19029

58624 -229
19541 -19541

60160 -235
20053 -20053

61696 -241
20565 -20565

63232 -247
21077 -21077

64768 -253
21589 -21589

66304 -259
22101 -22101

67840 -265
22613 -22613

69376 -271
23125 -23125

70912 -277
23637 -23637

72448 -283
24149 -24149

73984 -289
24661 -24661

75520 -295
25173 -25173

77056 -301
25685 -25685

78592 -307
26197 -26197

80128 -313
26709 -26709

81664 -319
27221 -27221

83200 -325
27733 -27733

84736 -331
28245 -28245

86272 -337
28757 -28757

87808 -343
29269 -29269

89344 -349
29781 -29781

90880 -355
30293 -30293

92416 -361
30805 -30805

93952 -367
31317 -31317

95488 -373
31829 -31829

97024 -379
32341 -32341

98560 -385
32853 -32853

100096 -391
33365 -33365

101632 -397
33877 -33877

103168 -403
34389 -34389

104704 -409
34901 -34901

106240 -415
35413 -35413

107776 -421
35925 -35925

109312 -427
36437 -36437

110848 -433
36949 -36949

112384 -439
37461 -37461

113920 -445
37973 -37973

115456 -451
38485 -38485

116992 -457
38997 -38997

118528 -463
39509 -39509

120064 -469
40021 -40021

121600 -475
40533 -40533

123136 -481
41045 -41045

124672 -487
41557 -41557

126208 -493
42069 -42069

127744 -499
42581 -42581

129280 -505
43093 -43093

130816 -511
43605 -43605

132352 -517
44117 -44117

133888 -523
44629 -44629

135424 -529
45141 -45141

136960 -535
45653 -45653

138496 -541
46165 -46165

140032 -547
46677 -46677

141568 -553
47189 -47189

143104 -559
47701 -47701

144640 -565
48213 -48213

146176 -571
48725 -48725

147712 -577
49237 -49237

149248 -583
49749 -49749

150784 -589
50261 -50261

152320 -595
50773 -50773

153856 -601
51285 -51285

155392 -607
51797 -51797

156928 -613
52309 -52309

158464 -619
52821 -52821

160000 -625
53333 -53333

161536 -631
53845 -53845

163072 -637
54357 -54357

164608 -643
54869 -54869

166144 -649
55381 -55381

167680 -655
55893 -55893

169216 -661
56405 -56405

170752 -667
56917 -56917

172288 -673
57429 -57429

173824 -679
57941 -57941

175360 -685
58453 -58453

176896 -691
58965 -58965

178432 -697
59477 -59477

179968 -703
59989 -59989

181504 -709
60501 -60501

183040 -715
61013 -61013

184576 -721
61525 -61525

186112 -727
62037 -62037

187648 -733
62549 -62549

189184 -739
63061 -63061

190720 -745
63573 -63573

192256 -751
64085 -64085

193792 -757
64597 -64597

195328 -763
65109 -65109

196864 -769
65621 -65621

198400 -775
66133 -66133

199936 -781
66645 -66645

201472 -787
67157 -67157

203008 -793
67669 -67669

204544 -799
68181 -68181

206080 -805
68693 -68693

207616 -811
69205 -69205

209152 -817
69717 -69717

210688 -823
70229 -70229

212224 -829
70741 -70741

213760 -835
71253 -71253

215296 -841
71765 -71765

216832 -847
72277 -72277

218368 -853
72789 -72789

219904 -859
73301 -73301

221440 -865
73813 -73813

222976 -871
74325 -74325

224512 -877
74837 -74837

226048 -883
75349 -75349

227584 -889
75861 -75861

229120 -895
76373 -76373

230656 -901
76885 -76885

232192 -907
77397 -77397

233728 -913
77909 -77909

235264 -919
78421 -78421

236800 -925
78933 -78933

238336 -931
79445 -79445

239872 -937
79957 -79957

241408 -943
80469 -80469

242944 -949
80981 -80981

244480 -955
81493 -81493

246016 -961
82005 -82005

247552 -967
82517 -82517

249088 -973
83029 -83029

250624 -979
83541 -83541

252160 -985
84053 -84053

253696 -991
84565 -84565

255232 -997
85077 -85077

256768 -1003
85589 -85589

258304 -1009
86101 -86101

259840 -1015
86613 -86613

261376 -1021
87125 -87125

262912 -1027
87637 -87637

264448 -1033
88149 -88149

265984 -1039
88661 -88661

267520 -1045
89173 -89173

269056 -1051
89685 -89685

270592 -1057
90197 -90197

272128 -1063
90709 -90709

273664 -1069
91221 -91221

275200 -1075
91733 -91733

276736 -1081
92245 -92245

278272 -1087
92757 -92757

279808 -1093
93269 -93269

281344 -1099
93781 -93781

282880 -1105
94293 -94293

284416 -1111
94805 -94805

285952 -1117
95317 -95317

287488 -1123
95829 -95829

289024 -1129
96341 -96341

290560 -1135
96853 -96853

292096 -1141
97365 -97365

293632 -1147
97877 -97877

295168 -1153
98389 -98389

296704 -1159
98901 -98901

298240 -1165
99413 -99413

299776 -1171
99925 -99925

