1 1
0 0

7 7
1 2

13 13
1 4

19 19
3 6

25 25
1 8

31 31
5 10

37 37
3 12

43 43
7 14

49 49
1 16

55 55
9 18

61 61
5 20

67 67
11 22

73 73
3 24

79 79
13 26

85 85
7 28

91 91
15 30

97 97
1 32

103 103
17 34

109 109
9 36

115 115
19 38

121 121
5 40

127 127
21 42

133 133
11 44

139 139
23 46

145 145
3 48

151 151
25 50

157 157
13 52

163 163
27 54

169 169
7 56

175 175
29 58

181 181
15 60

187 187
31 62

193 193
1 64

199 199
33 66

205 205
17 68

211 211
35 70

217 217
9 72

223 223
37 74

229 229
19 76

235 235
39 78

241 241
5 80

247 247
41 82

253 253
21 84

259 259
43 86

265 265
11 88

271 271
45 90

277 277
23 92

283 283
47 94

289 289
3 96

295 295
49 98

301 301
25 100

307 307
51 102

313 313
13 104

319 319
53 106

325 325
27 108

331 331
55 110

337 337
7 112

343 343
57 114

349 349
29 116

355 355
59 118

361 361
15 120

367 367
61 122

373 373
31 124

379 379
63 126

385 385
1 128

391 391
65 130

397 397
33 132

403 403
67 134

409 409
17 136

415 415
69 138

421 421
35 140

427 427
71 142

433 433
9 144

439 439
73 146

445 445
37 148

451 451
75 150

457 457
19 152

463 463
77 154

469 469
39 156

475 475
79 158

481 481
5 160

487 487
81 162

493 493
41 164

499 499
83 166

505 505
21 168

511 511
85 170

517 517
43 172

523 523
87 174

529 529
11 176

535 535
89 178

541 541
45 180

547 547
91 182

553 553
23 184

559 559
93 186

565 565
47 188

571 571
95 190

577 577
3 192

583 583
97 194

589 589
49 196

595 595
99 198

601 601
25 200

607 607
101 202

613 613
51 204

619 619
103 206

625 625
13 208

631 631
105 210

637 637
53 212

643 643
107 214

649 649
27 216

655 655
109 218

661 661
55 220

667 667
111 222

673 673
7 224

679 679
113 226

685 685
57 228

691 691
115 230

697 697
29 232

703 703
117 234

709 709
59 236

715 715
119 238

721 721
15 240

727 727
121 242

733 733
61 244

739 739
123 246

745 745
31 248

751 751
125 250

757 757
63 252

763 763
127 254

769 769
1 256

775 775
129 258

781 781
65 260

787 787
131 262

793 793
33 264

799 799
133 266

805 805
67 268

811 811
135 270

817 817
17 272

823 823
137 274

829 829
69 276

835 835
139 278

841 841
35 280

847 847
141 282

853 853
71 284

859 859
143 286

865 865
9 288

871 871
145 290

877 877
73 292

883 883
147 294

889 889
37 296

895 895
149 298

901 901
75 300

907 907
151 302

913 913
19 304

919 919
153 306

925 925
77 308

931 931
155 310

937 937
39 312

943 943
157 314

949 949
79 316

955 955
159 318

961 961
5 320

967 967
161 322

973 973
81 324

979 979
163 326

985 985
41 328

991 991
165 330

997 997
83 332

1003 1003
167 334

1009 1009
21 336

1015 1015
169 338

1021 1021
85 340

1027 1027
171 342

1033 1033
43 344

1039 1039
173 346

1045 1045
87 348

1051 1051
175 350

1057 1057
11 352

1063 1063
177 354

1069 1069
89 356

1075 1075
179 358

1081 1081
45 360

1087 1087
181 362

1093 1093
91 364

1099 1099
183 366

1105 1105
23 368

1111 1111
185 370

1117 1117
93 372

1123 1123
187 374

1129 1129
47 376

1135 1135
189 378

1141 1141
95 380

1147 1147
191 382

1153 1153
3 384

1159 1159
193 386

1165 1165
97 388

1171 1171
195 390

1177 1177
49 392

1183 1183
197 394

1189 1189
99 396

1195 1195
199 398

1201 1201
25 400

1207 1207
201 402

1213 1213
101 404

1219 1219
203 406

1225 1225
51 408

1231 1231
205 410

1237 1237
103 412

1243 1243
207 414

1249 1249
13 416

1255 1255
209 418

1261 1261
105 420

1267 1267
211 422

1273 1273
53 424

1279 1279
213 426

1285 1285
107 428

1291 1291
215 430

1297 1297
27 432

1303 1303
217 434

1309 1309
109 436

1315 1315
219 438

1321 1321
55 440

1327 1327
221 442

1333 1333
111 444

1339 1339
223 446

1345 1345
7 448

1351 1351
225 450

1357 1357
113 452

1363 1363
227 454

1369 1369
57 456

1375 1375
229 458

1381 1381
115 460

1387 1387
231 462

1393 1393
29 464

1399 1399
233 466

1405 1405
117 468

1411 1411
235 470

1417 1417
59 472

1423 1423
237 474

1429 1429
119 476

1435 1435
239 478

