

28 -7
9 -9

100 -25
33 -33

172 -43
57 -57

244 -61
81 -81

316 -79
105 -105

388 -97
129 -129

460 -115
153 -153

532 -133
177 -177

604 -151
201 -201

676 -169
225 -225

748 -187
249 -249

820 -205
273 -273

892 -223
297 -297

964 -241
321 -321

1036 -259
345 -345

1108 -277
369 -369

1180 -295
393 -393

1252 -313
417 -417

1324 -331
441 -441

1396 -349
465 -465

1468 -367
489 -489

1540 -385
513 -513

1612 -403
537 -537

1684 -421
561 -561

1756 -439
585 -585

1828 -457
609 -609

1900 -475
633 -633

1972 -493
657 -657

2044 -511
681 -681

2116 -529
705 -705

2188 -547
729 -729

2260 -565
753 -753

2332 -583
777 -777

2404 -601
801 -801

2476 -619
825 -825

2548 -637
849 -849

2620 -655
873 -873

2692 -673
897 -897

2764 -691
921 -921

2836 -709
945 -945

2908 -727
969 -969

2980 -745
993 -993

3052 -763
1017 -1017

3124 -781
1041 -1041

3196 -799
1065 -1065

3268 -817
1089 -1089

3340 -835
1113 -1113

3412 -853
1137 -1137

3484 -871
1161 -1161

3556 -889
1185 -1185

3628 -907
1209 -1209

3700 -925
1233 -1233

3772 -943
1257 -1257

3844 -961
1281 -1281

3916 -979
1305 -1305

3988 -997
1329 -1329

4060 -1015
1353 -1353

4132 -1033
1377 -1377

4204 -1051
1401 -1401

4276 -1069
1425 -1425

4348 -1087
1449 -1449

4420 -1105
1473 -1473

4492 -1123
1497 -1497

4564 -1141
1521 -1521

4636 -1159
1545 -1545

4708 -1177
1569 -1569

4780 -1195
1593 -1593

4852 -1213
1617 -1617

4924 -1231
1641 -1641

4996 -1249
1665 -1665

5068 -1267
1689 -1689

5140 -1285
1713 -1713

5212 -1303
1737 -1737

5284 -1321
1761 -1761

5356 -1339
1785 -1785

5428 -1357
1809 -1809

5500 -1375
1833 -1833

5572 -1393
1857 -1857

5644 -1411
1881 -1881

5716 -1429
1905 -1905

5788 -1447
1929 -1929

5860 -1465
1953 -1953

5932 -1483
1977 -1977

6004 -1501
2001 -2001

6076 -1519
2025 -2025

6148 -1537
2049 -2049

6220 -1555
2073 -2073

6292 -1573
2097 -2097

6364 -1591
2121 -2121

6436 -1609
2145 -2145

6508 -1627
2169 -2169

6580 -1645
2193 -2193

6652 -1663
2217 -2217

6724 -1681
2241 -2241

6796 -1699
2265 -2265

6868 -1717
2289 -2289

6940 -1735
2313 -2313

7012 -1753
2337 -2337

7084 -1771
2361 -2361

7156 -1789
2385 -2385

7228 -1807
2409 -2409

7300 -1825
2433 -2433

7372 -1843
2457 -2457

7444 -1861
2481 -2481

7516 -1879
2505 -2505

7588 -1897
2529 -2529

7660 -1915
2553 -2553

7732 -1933
2577 -2577

7804 -1951
2601 -2601

7876 -1969
2625 -2625

7948 -1987
2649 -2649



208 -13
69 -69

496 -31
165 -165

784 -49
261 -261

1072 -67
357 -357

1360 -85
453 -453

1648 -103
549 -549

1936 -121
645 -645

2224 -139
741 -741

2512 -157
837 -837

2800 -175
933 -933

3088 -193
1029 -1029

3376 -211
1125 -1125

3664 -229
1221 -1221

3952 -247
1317 -1317

4240 -265
1413 -1413

4528 -283
1509 -1509

4816 -301
1605 -1605

5104 -319
1701 -1701

5392 -337
1797 -1797

5680 -355
1893 -1893

5968 -373
1989 -1989

6256 -391
2085 -2085

6544 -409
2181 -2181

6832 -427
2277 -2277

7120 -445
2373 -2373

7408 -463
2469 -2469

7696 -481
2565 -2565

7984 -499
2661 -2661

8272 -517
2757 -2757

8560 -535
2853 -2853

8848 -553
2949 -2949

9136 -571
3045 -3045

9424 -589
3141 -3141

9712 -607
3237 -3237

10000 -625
3333 -3333

10288 -643
3429 -3429

10576 -661
3525 -3525

10864 -679
3621 -3621

11152 -697
3717 -3717

11440 -715
3813 -3813

11728 -733
3909 -3909

12016 -751
4005 -4005

12304 -769
4101 -4101

12592 -787
4197 -4197

12880 -805
4293 -4293

13168 -823
4389 -4389

13456 -841
4485 -4485

13744 -859
4581 -4581

14032 -877
4677 -4677

14320 -895
4773 -4773

14608 -913
4869 -4869

14896 -931
4965 -4965

15184 -949
5061 -5061

15472 -967
5157 -5157

15760 -985
5253 -5253

16048 -1003
5349 -5349

16336 -1021
5445 -5445

16624 -1039
5541 -5541

16912 -1057
5637 -5637

17200 -1075
5733 -5733

17488 -1093
5829 -5829

17776 -1111
5925 -5925

18064 -1129
6021 -6021

18352 -1147
6117 -6117

18640 -1165
6213 -6213

18928 -1183
6309 -6309

19216 -1201
6405 -6405

19504 -1219
6501 -6501

19792 -1237
6597 -6597

20080 -1255
6693 -6693

20368 -1273
6789 -6789

20656 -1291
6885 -6885

20944 -1309
6981 -6981

21232 -1327
7077 -7077

21520 -1345
7173 -7173

21808 -1363
7269 -7269

22096 -1381
7365 -7365

22384 -1399
7461 -7461

22672 -1417
7557 -7557

22960 -1435
7653 -7653

23248 -1453
7749 -7749

23536 -1471
7845 -7845

23824 -1489
7941 -7941

24112 -1507
8037 -8037

24400 -1525
8133 -8133

24688 -1543
8229 -8229

24976 -1561
8325 -8325

25264 -1579
8421 -8421

25552 -1597
8517 -8517

25840 -1615
8613 -8613

26128 -1633
8709 -8709

26416 -1651
8805 -8805

26704 -1669
8901 -8901

26992 -1687
8997 -8997

27280 -1705
9093 -9093

27568 -1723
9189 -9189

27856 -1741
9285 -9285

28144 -1759
9381 -9381

28432 -1777
9477 -9477

28720 -1795
9573 -9573

29008 -1813
9669 -9669

29296 -1831
9765 -9765

29584 -1849
9861 -9861

29872 -1867
9957 -9957

30160 -1885
10053 -10053

30448 -1903
10149 -10149

30736 -1921
10245 -10245

31024 -1939
