    5    -5
   10    -5
   20    -5
   40    -5
   80    -5
  160    -5
  320    -5
  640    -5
 1280    -5
 2560    -5
 5120    -5
10240    -5
20480    -5
40960    -5
81920    -5

   11   -11
   22   -11
   44   -11
   88   -11
  176   -11
  352   -11
  704   -11
 1408   -11
 2816   -11
 5632   -11
11264   -11
22528   -11
45056   -11
90112   -11

   17   -17
   34   -17
   68   -17
  136   -17
  272   -17
  544   -17
 1088   -17
 2176   -17
 4352   -17
 8704   -17
17408   -17
34816   -17
69632   -17
139264   -17

   23   -23
   46   -23
   92   -23
  184   -23
  368   -23
  736   -23
 1472   -23
 2944   -23
 5888   -23
11776   -23
23552   -23
47104   -23
94208   -23

   29   -29
   58   -29
  116   -29
  232   -29
  464   -29
  928   -29
 1856   -29
 3712   -29
 7424   -29
14848   -29
29696   -29
59392   -29
118784   -29

   35   -35
   70   -35
  140   -35
  280   -35
  560   -35
 1120   -35
 2240   -35
 4480   -35
 8960   -35
17920   -35
35840   -35
71680   -35
143360   -35

   41   -41
   82   -41
  164   -41
  328   -41
  656   -41
 1312   -41
 2624   -41
 5248   -41
10496   -41
20992   -41
41984   -41
83968   -41

   47   -47
   94   -47
  188   -47
  376   -47
  752   -47
 1504   -47
 3008   -47
 6016   -47
12032   -47
24064   -47
48128   -47
96256   -47

   53   -53
  106   -53
  212   -53
  424   -53
  848   -53
 1696   -53
 3392   -53
 6784   -53
13568   -53
27136   -53
54272   -53
108544   -53

   59   -59
  118   -59
  236   -59
  472   -59
  944   -59
 1888   -59
 3776   -59
 7552   -59
15104   -59
30208   -59
60416   -59
120832   -59

   65   -65
  130   -65
  260   -65
  520   -65
 1040   -65
 2080   -65
 4160   -65
 8320   -65
16640   -65
33280   -65
66560   -65
133120   -65

   71   -71
  142   -71
  284   -71
  568   -71
 1136   -71
 2272   -71
 4544   -71
 9088   -71
18176   -71
36352   -71
72704   -71
145408   -71

   77   -77
  154   -77
  308   -77
  616   -77
 1232   -77
 2464   -77
 4928   -77
 9856   -77
19712   -77
39424   -77
78848   -77

   83   -83
  166   -83
  332   -83
  664   -83
 1328   -83
 2656   -83
 5312   -83
10624   -83
21248   -83
42496   -83
84992   -83

   89   -89
  178   -89
  356   -89
  712   -89
 1424   -89
 2848   -89
 5696   -89
11392   -89
22784   -89
45568   -89
91136   -89

   95   -95
  190   -95
  380   -95
  760   -95
 1520   -95
 3040   -95
 6080   -95
12160   -95
24320   -95
48640   -95
97280   -95

  101  -101
  202  -101
  404  -101
  808  -101
 1616  -101
 3232  -101
 6464  -101
12928  -101
25856  -101
51712  -101
103424  -101

  107  -107
  214  -107
  428  -107
  856  -107
 1712  -107
 3424  -107
 6848  -107
13696  -107
27392  -107
54784  -107
109568  -107

  113  -113
  226  -113
  452  -113
  904  -113
 1808  -113
 3616  -113
 7232  -113
14464  -113
28928  -113
57856  -113
115712  -113

  119  -119
  238  -119
  476  -119
  952  -119
 1904  -119
 3808  -119
 7616  -119
15232  -119
30464  -119
60928  -119
121856  -119

  125  -125
  250  -125
  500  -125
 1000  -125
 2000  -125
 4000  -125
 8000  -125
16000  -125
32000  -125
64000  -125
128000  -125

  131  -131
  262  -131
  524  -131
 1048  -131
 2096  -131
 4192  -131
 8384  -131
16768  -131
33536  -131
67072  -131
134144  -131

  137  -137
  274  -137
  548  -137
 1096  -137
 2192  -137
 4384  -137
 8768  -137
17536  -137
35072  -137
70144  -137
140288  -137

  143  -143
  286  -143
  572  -143
 1144  -143
 2288  -143
 4576  -143
 9152  -143
18304  -143
36608  -143
73216  -143
146432  -143

  149  -149
  298  -149
  596  -149
 1192  -149
 2384  -149
 4768  -149
 9536  -149
19072  -149
38144  -149
76288  -149

  155  -155
  310  -155
  620  -155
 1240  -155
 2480  -155
 4960  -155
 9920  -155
19840  -155
39680  -155
79360  -155

  161  -161
  322  -161
  644  -161
 1288  -161
 2576  -161
 5152  -161
10304  -161
20608  -161
41216  -161
82432  -161

  167  -167
  334  -167
  668  -167
 1336  -167
 2672  -167
 5344  -167
10688  -167
21376  -167
42752  -167
85504  -167

  173  -173
  346  -173
  692  -173
 1384  -173
 2768  -173
 5536  -173
11072  -173
22144  -173
44288  -173
88576  -173

  179  -179
  358  -179
  716  -179
 1432  -179
 2864  -179
 5728  -179
11456  -179
22912  -179
45824  -179
91648  -179

  185  -185
  370  -185
  740  -185
 1480  -185
 2960  -185
 5920  -185
11840  -185
23680  -185
47360  -185
94720  -185

  191  -191
  382  -191
  764  -191
 1528  -191
 3056  -191
 6112  -191
12224  -191
24448  -191
48896  -191
97792  -191

  197  -197
  394  -197
  788  -197
 1576  -197
 3152  -197
 6304  -197
12608  -197
25216  -197
50432  -197
100864  -197

  203  -203
  406  -203
  812  -203
 1624  -203
 3248  -203
 6496  -203
12992  -203
25984  -203
51968  -203
103936  -203

  209  -209
  418  -209
  836  -209
 1672  -209
 3344  -209
 6688  -209
13376  -209
26752  -209
53504  -209
107008  -209

  215  -215
  430  -215
  860  -215
 1720  -215
 3440  -215
 6880  -215
13760  -215
27520  -215
55040  -215
110080  -215

  221  -221
  442  -221
  884  -221
 1768  -221
 3536  -221
 7072  -221
14144  -221
28288  -221
56576  -221
113152  -221

  227  -227
  454  -227
  908  -227
 1816  -227
